id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
13	reiss (2011)	"<table><tr><td>Authors:</td><td>reiss, henning; cunze, sarah; koenig, konstantin; neumann, hermann; kroencke, ingrid</td></tr><tr><td>Title:</td><td>species distribution modelling of marine benthos: a north sea case study</td></tr><tr><td>Source:</td><td>marine ecology progress series, 442, 71-86</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.3354/meps09391	-0.9316	0.0433	1	344	2245	187	2.5972	2011	187	2.5972
14	liu (2014)	"<table><tr><td>Authors:</td><td>liu, shuyan; liang, xin-zhong; gao, wei; stohlgren, thomas j.</td></tr><tr><td>Title:</td><td>regional climate model downscaling may improve the prediction of alien plant species distributions</td></tr><tr><td>Source:</td><td>frontiers of earth science, 8(4), 457-471</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1007/s11707-014-0457-4	-0.8556	0.1571	1	341	2119	9	0.0442	2014	9	0.0442
15	mcquillan (2015)	"<table><tr><td>Authors:</td><td>mcquillan, michael a.; rice, amber m.</td></tr><tr><td>Title:</td><td>differential effects of climate and species interactions on range limits at a hybrid zone: potential direct and indirect impacts of climate change</td></tr><tr><td>Source:</td><td>ecology and evolution, 5(21), 5120-5137</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1002/ece3.1774	-0.279	-0.3208	1	340	2261	64	1.3532	2015	64	1.3532
16	gould (2014)	"<table><tr><td>Authors:</td><td>gould, susan f.; beeton, nicholas j.; harris, rebecca m. b.; hutchinson, michael f.; lechner, alex m.; porfirio, luciana l.; mackey, brendan g.</td></tr><tr><td>Title:</td><td>a tool for simulating and communicating uncertainty when modelling species distributions under future climates</td></tr><tr><td>Source:</td><td>ecology and evolution, 4(24), 4798-4811</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1002/ece3.1319	-0.4946	-0.1351	1	344	3119	38	0.1865	2014	38	0.1865
17	moreno-amat (2015)	"<table><tr><td>Authors:</td><td>moreno-amat, elena; mateo, ruben g.; nieto-lugilde, diego; morueta-holme, naia; svenning, jens-christian; garcia-amorena, ignacio</td></tr><tr><td>Title:</td><td>impact of model complexity on cross-temporal transferability in maxent species distribution models: an assessment using paleobotanical data</td></tr><tr><td>Source:</td><td>ecological modelling, 312, 308-317</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.ecolmodel.2015.05.035	0.2834	-0.7037	2	342	2803	167	3.5311	2015	167	3.5311
18	carvalho (2015)	"<table><tr><td>Authors:</td><td>carvalho, bruno m.; rangel, elizabeth f.; ready, paul d.; vale, mariana m.</td></tr><tr><td>Title:</td><td>ecological niche modelling predicts southward expansion of lutzomyia (nyssomyia) flaviscutellata (diptera: psychodidae: phlebotominae), vector of leishmania (leishmania) amazonensis in south america, under climate change</td></tr><tr><td>Source:</td><td>plos one, 10(11)</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1371/journal.pone.0143282	-0.7568	0.395	1	343	2169	73	1.5435	2015	73	1.5435
19	kramer-schadt (2013)	"<table><tr><td>Authors:</td><td>kramer-schadt, stephanie; niedballa, juergen; pilgrim, john d.; schroeder, boris; lindenborn, jana; reinfelder, vanessa; stillfried, milena; heckmann, ilja; scharf, anne k.; augeri, dave m.; cheyne, susan m.; hearn, andrew j.; ross, joanna; macdonald, david w.; mathai, john; eaton, james; marshall, andrew j.; semiadi, gono; rustam, rustam; bernard, henry; alfred, raymond; samejima, hiromitsu; duckworth, j. w.; breitenmoser-wuersten, christine; belant, jerrold l.; hofer, heribert; wilting, andreas</td></tr><tr><td>Title:</td><td>the importance of correcting for sampling bias in maxent species distribution models</td></tr><tr><td>Source:</td><td>diversity and distributions, 19(11), 1366-1379</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1111/ddi.12096	-0.2524	-0.9476	1	343	2745	1035	4.8654	2013	1035	4.8654
20	sahlean (2014)	"<table><tr><td>Authors:</td><td>sahlean, tiberiu c.; gherghel, iulian; papes, monica; strugariu, alexandru; zamfirescu, stefan r.</td></tr><tr><td>Title:</td><td>refining climate change projections for organisms with low dispersal abilities: a case study of the caspian whip snake</td></tr><tr><td>Source:</td><td>plos one, 9(3)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1371/journal.pone.0091994	-0.7058	-0.2671	1	337	2257	51	0.2503	2014	51	0.2503
21	li (2013)	"<table><tr><td>Authors:</td><td>li, wenkai; guo, qinghua</td></tr><tr><td>Title:</td><td>how to assess the prediction accuracy of species presence-absence models without absence data?</td></tr><tr><td>Source:</td><td>ecography, 36(7), 788-799</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1111/j.1600-0587.2013.07585.x	-0.8082	-0.21	1	340	2200	78	0.3667	2013	78	0.3667
22	blank (2012)	"<table><tr><td>Authors:</td><td>blank, lior; blaustein, leon</td></tr><tr><td>Title:</td><td>using ecological niche modeling to predict the distributions of two endangered amphibian species in aquatic breeding sites</td></tr><tr><td>Source:</td><td>hydrobiologia, 693(1), 157-167</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1007/s10750-012-1101-5	-0.7712	-0.5851	1	337	2221	46	0.5669	2012	46	0.5669
23	vierod (2014)	"<table><tr><td>Authors:</td><td>vierod, alexander d. t.; guinotte, john m.; davies, andrew j.</td></tr><tr><td>Title:</td><td>predicting the distribution of vulnerable marine ecosystems in the deep sea using presence-background models</td></tr><tr><td>Source:</td><td>deep-sea research part ii-topical studies in oceanography, 99, 6-18</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.dsr2.2013.06.010	-0.6597	-0.1081	1	343	2457	90	0.4417	2014	90	0.4417
24	amici (2014)	"<table><tr><td>Authors:</td><td>amici, v; geri, f.; bonini, i; rocchini, d.</td></tr><tr><td>Title:</td><td>ecological niche modelling with herbarium data: a framework to improve natura 2000 habitat monitoring</td></tr><tr><td>Source:</td><td>applied ecology and environmental research, 12(3), 645-659</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.15666/aeer/1203_645659	-0.5864	-0.8065	1	337	2283	11	0.054	2014	11	0.054
25	de pous (2011)	"<table><tr><td>Authors:</td><td>de pous, philip; mora, elisa; metallinou, margarita; escoriza, daniel; comas, mar; donaire, david; pleguezuelos, juan m.; carranza, salvador</td></tr><tr><td>Title:</td><td>elusive but widespread? the potential distribution and genetic variation of hyalosaurus koellikeri (gunther, 1873) in the maghreb</td></tr><tr><td>Source:</td><td>amphibia-reptilia, 32(3), 385-397</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1163/017353711x587732	-0.1595	-0.9961	1	336	2391	21	0.2917	2011	21	0.2917
26	stiels (2011)	"<table><tr><td>Authors:</td><td>stiels, darius; schidelko, kathrin; engler, jan o.; van den elzen, renate; roedder, dennis</td></tr><tr><td>Title:</td><td>predicting the potential distribution of the invasive common waxbill estrilda astrild (passeriformes: estrildidae)</td></tr><tr><td>Source:</td><td>journal of ornithology, 152(3), 769-780</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1007/s10336-011-0662-9	-0.8567	-0.5137	1	340	2514	48	0.6667	2011	48	0.6667
27	stolar (2015)	"<table><tr><td>Authors:</td><td>stolar, jessica; nielsen, scott e.</td></tr><tr><td>Title:</td><td>accounting for spatially biased sampling effort in presence-only species distribution modelling</td></tr><tr><td>Source:</td><td>diversity and distributions, 21(5), 595-608</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1111/ddi.12279	-0.7569	-0.0902	1	340	2330	150	3.1716	2015	150	3.1716
28	barnes (2014)	"<table><tr><td>Authors:</td><td>barnes, matthew a.; jerde, christopher l.; wittmann, marion e.; chadderton, w. lindsay; ding, jianqing; zhang, jialiang; purcell, matthew; budhathoki, milan; lodge, david m.</td></tr><tr><td>Title:</td><td>geographic selection bias of occurrence data influences transferability of invasive hydrilla verticillata distribution models</td></tr><tr><td>Source:</td><td>ecology and evolution, 4(12), 2584-2593</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1002/ece3.1120	0.0237	-0.9797	1	333	2355	36	0.1767	2014	36	0.1767
29	niamir (2011)	"<table><tr><td>Authors:</td><td>niamir, aidin; skidmore, andrew k.; toxopeus, albertus g.; munoz, antonio r.; real, raimundo</td></tr><tr><td>Title:</td><td>finessing atlas data for species distribution models</td></tr><tr><td>Source:</td><td>diversity and distributions, 17(6), 1173-1185</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1111/j.1472-4642.2011.00793.x	-0.7813	-0.4716	1	339	2283	33	0.4583	2011	33	0.4583
30	thompson (2011)	"<table><tr><td>Authors:</td><td>thompson, genevieve d.; robertson, mark p.; webber, bruce l.; richardson, david m.; le roux, johannes j.; wilson, john r. u.</td></tr><tr><td>Title:</td><td>predicting the subspecific identity of invasive species using distribution models: acacia saligna as an example</td></tr><tr><td>Source:</td><td>diversity and distributions, 17(5), 1001-1014</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1111/j.1472-4642.2011.00820.x	-0.2974	-0.8702	1	337	2350	62	0.8611	2011	62	0.8611
31	hespanhol (2015)	"<table><tr><td>Authors:</td><td>hespanhol, helena; cezon, katia; felicisimo, angel m.; munoz, jesus; mateo, ruben g.</td></tr><tr><td>Title:</td><td>how to describe species richness patterns for bryophyte conservation?</td></tr><tr><td>Source:</td><td>ecology and evolution, 5(23), 5443-5455</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1002/ece3.1796	-0.3877	-0.9112	1	338	2328	7	0.148	2015	7	0.148
32	stiels (2015)	"<table><tr><td>Authors:</td><td>stiels, darius; gaisser, bianca; schidelko, kathrin; engler, jan o.; roedder, dennis</td></tr><tr><td>Title:</td><td>niche shift in four non-native estrildid finches and implications for species distribution models</td></tr><tr><td>Source:</td><td>ibis, 157(1), 75-90</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1111/ibi.12194	-0.6717	-0.5775	1	344	3184	25	0.5286	2015	25	0.5286
33	aguilar (2015)	"<table><tr><td>Authors:</td><td>aguilar, g. d.; farnworth, m. j.; winder, l.</td></tr><tr><td>Title:</td><td>mapping the stray domestic cat (felis catus) population in new zealand: species distribution modelling with a climate change scenario and implications for protected areas</td></tr><tr><td>Source:</td><td>applied geography, 63, 146-154</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.apgeog.2015.06.019	0.0703	-0.2483	2	338	2178	24	0.5075	2015	24	0.5075
34	amici (2015)	"<table><tr><td>Authors:</td><td>amici, valerio; eggers, britta; geri, francesco; battisti, corrado</td></tr><tr><td>Title:</td><td>habitat suitability and landscape structure: a maximum entropy approach in a mediterranean area</td></tr><tr><td>Source:</td><td>landscape research, 40(2), 208-225</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1080/01426397.2013.774329	-0.7892	-0.3256	1	340	2223	13	0.2749	2015	13	0.2749
35	heikkinen (2012)	"<table><tr><td>Authors:</td><td>heikkinen, risto k.; marmion, mathieu; luoto, miska</td></tr><tr><td>Title:</td><td>does the interpolation accuracy of species distribution models come at the expense of transferability?</td></tr><tr><td>Source:</td><td>ecography, 35(3), 276-288</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1111/j.1600-0587.2011.06999.x	-0.951	0.0746	1	345	2278	229	2.8222	2012	229	2.8222
36	aycrigg (2015)	"<table><tr><td>Authors:</td><td>aycrigg, jocelyn; beauvais, gary; gotthardt, tracey; huettmann, falk; pyare, sanjay; andersen, mark; keinath, doug; lonneker, jeff; spathelf, miles; walton, kelly</td></tr><tr><td>Title:</td><td>novel approaches to modeling and mapping terrestrial vertebrate occurrence in the northwest and alaska: an evaluation</td></tr><tr><td>Source:</td><td>northwest science, 89(4), 355-381</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.3955/046.089.0405	-0.3693	-0.1148	1	345	2596	10	0.2114	2015	10	0.2114
37	alimi (2015)	"<table><tr><td>Authors:</td><td>alimi, temitope o.; fuller, douglas o.; qualls, whitney a.; herrera, socrates v.; arevalo-herrera, myriam; quinones, martha l.; lacerda, marcus v. g.; beier, john c.</td></tr><tr><td>Title:</td><td>predicting potential ranges of primary malaria vectors and malaria in northern south america based on projected changes in climate, land cover and human population</td></tr><tr><td>Source:</td><td>parasites & vectors, 8</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1186/s13071-015-1033-9	-0.4286	-0.2117	1	342	2200	43	0.9092	2015	43	0.9092
38	banag (2015)	"<table><tr><td>Authors:</td><td>banag, cecilia; thrippleton, timothy; alejandro, grecebio jonathan; reineking, bjoern; liede-schumann, sigrid</td></tr><tr><td>Title:</td><td>bioclimatic niches of selected endemic ixora species on the philippines: predicting habitat suitability due to climate change</td></tr><tr><td>Source:</td><td>plant ecology, 216(9), 1325-1340</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1007/s11258-015-0512-6	-0.4127	-0.6425	1	339	2205	19	0.4017	2015	19	0.4017
39	bouchet (2015)	"<table><tr><td>Authors:</td><td>bouchet, p. j.; meeuwig, j. j.</td></tr><tr><td>Title:</td><td>drifting baited stereo-videography: a novel sampling tool for surveying pelagic wildlife in offshore marine reserves</td></tr><tr><td>Source:</td><td>ecosphere, 6(8)</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1890/es14-00380.1	0.1617	-0.2208	2	348	3319	43	0.9092	2015	43	0.9092
40	cao (2013)	"<table><tr><td>Authors:</td><td>cao, yong; dewalt, r. edward; robinson, jason l.; tweddale, tari; hinz, leon; pessino, massimo</td></tr><tr><td>Title:</td><td>using maxent to model the historic distributions of stonefly species in illinois streams: the effects of regularization and threshold selections</td></tr><tr><td>Source:</td><td>ecological modelling, 259, 30-39</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.ecolmodel.2013.03.012	-0.2345	-0.6901	1	343	2725	115	0.5406	2013	115	0.5406
41	torres (2012)	"<table><tr><td>Authors:</td><td>torres, natalia m.; de marco junior, paulo; santos, thiago; silveira, leandro; de almeida jacomo, anah t.; diniz-filho, jose a. f.</td></tr><tr><td>Title:</td><td>can species distribution modelling provide estimates of population densities? a case study with jaguars in the neotropics</td></tr><tr><td>Source:</td><td>diversity and distributions, 18(6), 615-627</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1111/j.1472-4642.2012.00892.x	-0.908	0.1971	1	344	2506	113	1.3926	2012	113	1.3926
42	engler (2014)	"<table><tr><td>Authors:</td><td>engler, jan o.; roedder, dennis; stiels, darius; foerschler, marc i.</td></tr><tr><td>Title:</td><td>suitable, reachable but not colonised: seasonal niche duality in an endemic mountainous songbird</td></tr><tr><td>Source:</td><td>journal of ornithology, 155(3), 657-669</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1007/s10336-014-1049-5	-0.6756	-0.7365	1	339	2160	28	0.1374	2014	28	0.1374
43	rocha (2012)	"<table><tr><td>Authors:</td><td>rocha, joao; crespi, antonio; almeida, rubim; amich, francisco</td></tr><tr><td>Title:</td><td>status and conservation of silene section cordifolia in the iberian peninsula: a menaced group under global environmental change</td></tr><tr><td>Source:</td><td>plant ecology & diversity, 5(1), 45-56</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1080/17550874.2012.671857	-0.9183	-0.2917	1	338	2323	4	0.0493	2012	4	0.0493
44	roedder (2011)	"<table><tr><td>Authors:</td><td>roedder, dennis; loetters, stefan; oz, mehmed; bogaerts, serge; eleftherakos, karolos; veith, michael</td></tr><tr><td>Title:</td><td>a novel method to calculate climatic niche similarity among species with restricted ranges-the case of terrestrial lycian salamanders</td></tr><tr><td>Source:</td><td>organisms diversity & evolution, 11(5), 409-423</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1007/s13127-011-0058-y	-0.7303	-0.6746	1	341	2754	12	0.1667	2011	12	0.1667
45	fourcade (2013)	"<table><tr><td>Authors:</td><td>fourcade, yoan; engler, jan o.; besnard, aurelien g.; roedder, dennis; secondi, jean</td></tr><tr><td>Title:</td><td>confronting expert-based and modelled distributions for species with uncertain conservation status: a case study from the corncrake (crex crex)</td></tr><tr><td>Source:</td><td>biological conservation, 167, 161-171</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.biocon.2013.08.009	-0.6697	-0.1948	1	343	2705	55	0.2585	2013	55	0.2585
46	williams (2012)	"<table><tr><td>Authors:</td><td>williams, kristen j.; belbin, lee; austin, michael p.; stein, janet l.; ferrier, simon</td></tr><tr><td>Title:</td><td>which environmental variables should i use in my biodiversity model?</td></tr><tr><td>Source:</td><td>international journal of geographical information science, 26(11), 2009-2047</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1080/13658816.2012.698015	-0.6017	-0.1116	1	344	2290	141	1.7377	2012	141	1.7377
47	syfert (2014)	"<table><tr><td>Authors:</td><td>syfert, mindy m.; joppa, lucas; smith, matthew j.; coomes, david a.; bachman, steven p.; brummitt, neil a.</td></tr><tr><td>Title:</td><td>using species distribution models to inform iucn red list assessments</td></tr><tr><td>Source:</td><td>biological conservation, 177, 174-184</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.biocon.2014.06.012	-0.1352	-0.6526	1	343	2798	135	0.6625	2014	135	0.6625
48	rupprecht (2011)	"<table><tr><td>Authors:</td><td>rupprecht, franziska; oldeland, jens; finckh, manfred</td></tr><tr><td>Title:</td><td>modelling potential distribution of the threatened tree species juniperus oxycedrus: how to evaluate the predictions of different modelling approaches?</td></tr><tr><td>Source:</td><td>journal of vegetation science, 22(4), 647-659</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1111/j.1654-1103.2011.01269.x	-0.8362	-0.1054	1	341	2188	59	0.8194	2011	59	0.8194
49	papes (2015)	"<table><tr><td>Authors:</td><td>papes, monica; cuzin, fabrice; gaubert, philippe</td></tr><tr><td>Title:</td><td>niche dynamics in the european ranges of two african carnivores reflect their dispersal and demographic histories</td></tr><tr><td>Source:</td><td>biological journal of the linnean society, 114(4), 737-751</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1111/bij.12477	-0.5928	-0.7524	1	333	2210	8	0.1692	2015	8	0.1692
50	syfert (2013)	"<table><tr><td>Authors:</td><td>syfert, mindy m.; smith, matthew j.; coomes, david a.</td></tr><tr><td>Title:</td><td>the effects of sampling bias and model complexity on the predictive performance of maxent species distribution models</td></tr><tr><td>Source:</td><td>plos one, 8(2)</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1371/journal.pone.0055158	-0.5527	-0.5113	1	341	2913	564	2.6513	2013	564	2.6513
51	webber (2011)	"<table><tr><td>Authors:</td><td>webber, bruce l.; yates, colin j.; le maitre, david c.; scott, john k.; kriticos, darren j.; ota, noboru; mcneill, asha; le roux, johannes j.; midgley, guy f.</td></tr><tr><td>Title:</td><td>modelling horses for novel climate courses: insights from projecting potential distributions of native and alien australian acacias with correlative and mechanistic models</td></tr><tr><td>Source:</td><td>diversity and distributions, 17(5), 978-1000</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1111/j.1472-4642.2011.00811.x	-0.577	-0.431	1	340	2496	194	2.6944	2011	194	2.6944
52	fernandez (2012)	"<table><tr><td>Authors:</td><td>fernandez, miguel; hamilton, healy; alvarez, otto; guo, qinghua</td></tr><tr><td>Title:</td><td>does adding multi-scale climatic variability improve our capacity to explain niche transferability in invasive species?</td></tr><tr><td>Source:</td><td>ecological modelling, 246, 60-67</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.ecolmodel.2012.07.025	-0.5111	-0.728	1	339	2306	9	0.1109	2012	9	0.1109
53	de cauwer (2014)	"<table><tr><td>Authors:</td><td>de cauwer, vera; muys, bart; revermann, rasmus; trabucco, antonio</td></tr><tr><td>Title:</td><td>potential, realised, future distribution and environmental suitability for pterocarpus angolensis dc in southern africa</td></tr><tr><td>Source:</td><td>forest ecology and management, 315, 211-226</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.foreco.2013.12.032	-0.7391	-0.3488	1	340	2441	41	0.2012	2014	41	0.2012
54	munoz-mas (2015)	"<table><tr><td>Authors:</td><td>munoz-mas, r.; martinez-capel, f.; alcaraz-hernandez, j. d.; mouton, a. m.</td></tr><tr><td>Title:</td><td>can multilayer perceptron ensembles model the ecological niche of freshwater fish species?</td></tr><tr><td>Source:</td><td>ecological modelling, 309, 72-81</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.ecolmodel.2015.04.025	-0.6984	0.6857	3	295	584	18	0.3806	2015	18	0.3806
55	abecasis (2014)	"<table><tr><td>Authors:</td><td>abecasis, david; afonso, pedro; erzini, karim</td></tr><tr><td>Title:</td><td>combining multispecies home range and distribution models aids assessment of mpa effectiveness</td></tr><tr><td>Source:</td><td>marine ecology progress series, 513, 155-169</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.3354/meps10987	-0.2905	-0.5387	1	340	2808	46	0.2258	2014	46	0.2258
